interaction_id,timestamp,department,user_role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact,timestamp_seconds,response_time_sec,efficiency_score,confidence_norm,impact_score,low_confidence_flag,high_impact_flag,slow_response_flag,low_feedback_flag,risk_score,risk_level
INT-100000,2025-08-12 08:29:31.851880,HR,Intern,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.73,2381,4.0,High,,2.381,0.29577048210588586,0.7373737373737373,3.0,0,1,1,0,0.5,Medium Risk
INT-100001,2025-10-08 15:20:31.851905,Operations,Analyst,Forecast next quarter revenue,Marketing,Profit Margin,Descriptive,0.89,635,2.0,Low,,0.635,0.6116207951070336,0.898989898989899,1.0,0,0,0,1,0.1,Low Risk
INT-100002,2025-09-21 01:42:31.851909,Finance,Manager,What is customer churn rate?,Marketing,Conversion Rate,Predictive,0.84,557,5.0,,,0.557,0.6422607578676943,0.8484848484848485,,0,0,0,0,0.0,Low Risk
INT-100003,2025-09-07 01:43:31.851912,Operations,Analyst,Compare sales performance by region,Marketing,Conversion Rate,Trend Analysis,0.76,2499,4.0,,,2.499,0.2857959416976279,0.7676767676767677,,0,0,1,0,0.2,Low Risk
INT-100004,2025-09-17 20:17:31.851914,Operations,Executive,Which campaign had highest ROI?,Marketing,Conversion Rate,Predictive,0.98,334,2.0,High,,0.334,0.7496251874062968,0.98989898989899,3.0,0,1,0,1,0.4,Medium Risk
INT-100005,2025-10-19 16:01:31.851919,Marketing,Executive,Compare sales performance by region,Finance,Conversion Rate,Descriptive,0.89,722,4.0,Medium,,0.722,0.5807200929152149,0.898989898989899,2.0,0,0,0,0,0.0,Low Risk
INT-100006,2025-04-06 03:06:31.851921,Finance,Executive,Compare sales performance by region,Finance,Conversion Rate,Predictive,0.62,1003,4.0,Medium,,1.003,0.4992511233150274,0.6262626262626263,2.0,0,0,0,0,0.0,Low Risk
INT-100007,2025-11-16 06:09:31.851925,Finance,Analyst,Which campaign had highest ROI?,Revenue,Profit Margin,Trend Analysis,0.89,279,1.0,Low,,0.279,0.7818608287724785,0.898989898989899,1.0,0,0,0,1,0.1,Low Risk
INT-100008,2025-09-11 12:04:31.851933,Finance,Intern,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.61,1676,3.0,,,1.676,0.37369207772795215,0.6161616161616161,,0,0,0,0,0.0,Low Risk
INT-100010,2026-01-11 22:22:31.851938,HR,Manager,Compare sales performance by region,Customer,Conversion Rate,Trend Analysis,0.68,567,1.0,Low,,0.567,0.6381620931716656,0.686868686868687,1.0,0,0,0,1,0.1,Low Risk
INT-100011,2025-04-06 07:32:31.851940,Finance,Intern,Forecast next quarter revenue,Finance,Churn Rate,Descriptive,0.87,1206,4.0,Medium,,1.206,0.45330915684496825,0.8787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100012,2025-12-17 19:15:31.851942,Operations,Executive,Show monthly revenue trend,Marketing,Revenue,Trend Analysis,0.72,1192,5.0,High,,1.192,0.45620437956204374,0.7272727272727273,3.0,0,1,0,0,0.3,Medium Risk
INT-100013,2025-04-09 10:10:31.851944,Marketing,Analyst,Which campaign had highest ROI?,Marketing,Profit Margin,Predictive,0.94,795,3.0,Low,,0.795,0.5571030640668524,0.9494949494949495,1.0,0,0,0,0,0.0,Low Risk
INT-100014,2025-08-04 16:33:31.851946,HR,Executive,Which campaign had highest ROI?,Customer,Churn Rate,Trend Analysis,0.73,2096,3.0,Low,,2.096,0.32299741602067183,0.7373737373737373,1.0,0,0,1,0,0.2,Low Risk
INT-100015,2025-11-05 04:36:31.851948,Marketing,Executive,Forecast next quarter revenue,Sales,Conversion Rate,Trend Analysis,0.84,1244,5.0,,,1.244,0.4456327985739751,0.8484848484848485,,0,0,0,0,0.0,Low Risk
INT-100016,2025-11-04 02:33:31.851950,HR,Manager,Show monthly revenue trend,Marketing,Conversion Rate,Trend Analysis,0.71,2493,3.0,High,,2.493,0.286286859433152,0.7171717171717171,3.0,0,1,1,0,0.5,Medium Risk
INT-100017,2025-03-29 18:17:31.851952,Operations,Intern,Show monthly revenue trend,Sales,Conversion Rate,Predictive,0.96,2479,4.0,,,2.479,0.2874389192296637,0.9696969696969697,,0,0,1,0,0.2,Low Risk
INT-100018,2025-04-07 16:27:31.851954,Sales,Manager,Forecast next quarter revenue,Customer,Churn Rate,Trend Analysis,0.9,2023,4.0,Low,,2.023,0.33079722130334105,0.9090909090909092,1.0,0,0,1,0,0.2,Low Risk
INT-100019,2025-11-27 10:50:31.851956,HR,Manager,What is customer churn rate?,Sales,Conversion Rate,Trend Analysis,0.69,2211,5.0,Low,,2.211,0.3114294612270321,0.6969696969696969,1.0,0,0,1,0,0.2,Low Risk
INT-100021,2025-10-24 13:59:31.851959,Operations,Executive,Which campaign had highest ROI?,Sales,Conversion Rate,Descriptive,0.74,610,5.0,Medium,,0.61,0.6211180124223603,0.7474747474747475,2.0,0,0,0,0,0.0,Low Risk
INT-100022,2025-10-15 09:19:31.851961,HR,Manager,Compare sales performance by region,Marketing,Revenue,Descriptive,0.85,2492,4.0,Low,,2.492,0.286368843069874,0.8585858585858586,1.0,0,0,1,0,0.2,Low Risk
INT-100023,2025-06-07 13:30:31.851963,Sales,Manager,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.89,586,5.0,High,,0.586,0.6305170239596469,0.898989898989899,3.0,0,1,0,0,0.3,Medium Risk
INT-100026,2026-01-26 23:27:31.851969,Finance,Manager,Show monthly revenue trend,Sales,Conversion Rate,Predictive,0.73,2269,5.0,Low,,2.269,0.30590394616090544,0.7373737373737373,1.0,0,0,1,0,0.2,Low Risk
INT-100027,2025-11-23 17:03:31.851971,Marketing,Intern,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.67,218,2.0,Low,,0.218,0.8210180623973727,0.6767676767676768,1.0,0,0,0,1,0.1,Low Risk
INT-100028,2025-09-11 17:21:31.851974,HR,Intern,Compare sales performance by region,Revenue,Churn Rate,Trend Analysis,0.93,475,4.0,Medium,,0.475,0.6779661016949152,0.9393939393939394,2.0,0,0,0,0,0.0,Low Risk
INT-100029,2025-06-08 11:27:31.851976,HR,Manager,Show monthly revenue trend,Customer,Conversion Rate,Trend Analysis,0.87,858,1.0,Low,,0.858,0.5382131324004306,0.8787878787878788,1.0,0,0,0,1,0.1,Low Risk
INT-100030,2025-03-22 22:12:31.851977,Finance,Executive,Forecast next quarter revenue,Marketing,ROI,Descriptive,0.63,751,3.0,Medium,,0.751,0.5711022272986865,0.6363636363636364,2.0,0,0,0,0,0.0,Low Risk
INT-100031,2026-01-31 13:40:31.851979,HR,Manager,Compare sales performance by region,Revenue,Conversion Rate,Descriptive,0.65,878,2.0,Medium,,0.878,0.5324813631522897,0.6565656565656566,2.0,0,0,0,1,0.1,Low Risk
INT-100033,2025-06-12 06:45:31.851987,Sales,Executive,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.63,564,3.0,Low,,0.564,0.639386189258312,0.6363636363636364,1.0,0,0,0,0,0.0,Low Risk
INT-100034,2025-11-01 12:37:31.851989,Finance,Analyst,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.96,2173,4.0,Medium,,2.173,0.3151591553734636,0.9696969696969697,2.0,0,0,1,0,0.2,Low Risk
INT-100035,2025-04-02 20:57:31.851990,Operations,Executive,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.89,994,4.0,High,,0.994,0.5015045135406219,0.898989898989899,3.0,0,1,0,0,0.3,Medium Risk
INT-100036,2025-03-10 03:01:31.851992,Finance,Intern,Which campaign had highest ROI?,Customer,Profit Margin,Predictive,0.73,1558,2.0,Medium,,1.558,0.39093041438623927,0.7373737373737373,2.0,0,0,0,1,0.1,Low Risk
INT-100037,2025-08-10 07:29:31.851994,Operations,Executive,Show monthly revenue trend,Finance,Churn Rate,Trend Analysis,0.74,1974,4.0,,,1.974,0.3362474781439139,0.7474747474747475,,0,0,0,0,0.0,Low Risk
INT-100038,2025-12-14 05:56:31.851996,Sales,Manager,Which campaign had highest ROI?,Marketing,ROI,Predictive,0.8,789,4.0,Medium,,0.789,0.5589714924538848,0.8080808080808082,2.0,0,0,0,0,0.0,Low Risk
INT-100039,2025-12-17 10:06:31.851998,Marketing,Analyst,Show monthly revenue trend,Customer,Profit Margin,Trend Analysis,0.74,398,5.0,,,0.398,0.7153075822603719,0.7474747474747475,,0,0,0,0,0.0,Low Risk
INT-100040,2025-09-22 06:47:31.851999,HR,Analyst,What is customer churn rate?,Customer,Conversion Rate,Trend Analysis,0.91,2264,1.0,Low,,2.264,0.30637254901960786,0.9191919191919192,1.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100041,2025-08-14 10:11:31.852001,Sales,Analyst,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.98,417,3.0,Medium,,0.417,0.7057163020465772,0.98989898989899,2.0,0,0,0,0,0.0,Low Risk
INT-100042,2026-01-13 02:18:31.852003,HR,Intern,Which campaign had highest ROI?,Customer,Profit Margin,Predictive,0.83,940,4.0,Medium,,0.94,0.5154639175257733,0.8383838383838383,2.0,0,0,0,0,0.0,Low Risk
INT-100043,2026-01-30 02:05:31.852005,Marketing,Intern,Forecast next quarter revenue,Revenue,ROI,Predictive,0.77,849,1.0,,,0.849,0.5408328826392644,0.7777777777777778,,0,0,0,1,0.1,Low Risk
INT-100044,2025-05-07 05:39:31.852007,Marketing,Analyst,Compare sales performance by region,Revenue,Churn Rate,Predictive,0.69,2394,2.0,Low,,2.394,0.2946375957572186,0.6969696969696969,1.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100045,2026-01-14 11:10:31.852009,Sales,Executive,Show monthly revenue trend,Sales,Profit Margin,Predictive,0.85,869,2.0,Low,,0.869,0.5350454788657036,0.8585858585858586,1.0,0,0,0,1,0.1,Low Risk
INT-100046,2025-03-26 00:46:31.852011,Marketing,Analyst,Show monthly revenue trend,Customer,Profit Margin,Predictive,0.87,1637,4.0,Medium,,1.637,0.37921880925293894,0.8787878787878788,2.0,0,0,0,0,0.0,Low Risk
INT-100047,2025-12-26 00:48:31.852013,Operations,Executive,Forecast next quarter revenue,Sales,Profit Margin,Predictive,0.87,864,3.0,Low,,0.864,0.536480686695279,0.8787878787878788,1.0,0,0,0,0,0.0,Low Risk
INT-100048,2025-03-03 05:55:31.852014,Marketing,Executive,Forecast next quarter revenue,Marketing,Revenue,Predictive,0.61,1055,4.0,Medium,,1.055,0.4866180048661801,0.6161616161616161,2.0,0,0,0,0,0.0,Low Risk
INT-100050,2025-11-18 12:35:31.852018,HR,Executive,Compare sales performance by region,Marketing,Churn Rate,Predictive,0.73,2093,5.0,,,2.093,0.3233107015842224,0.7373737373737373,,0,0,1,0,0.2,Low Risk
INT-100051,2025-10-22 00:02:31.852020,HR,Analyst,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.89,1386,3.0,Low,,1.386,0.4191114836546521,0.898989898989899,1.0,0,0,0,0,0.0,Low Risk
INT-100052,2025-11-15 03:50:31.852022,HR,Intern,What is customer churn rate?,Revenue,Churn Rate,Trend Analysis,0.9,2042,3.0,Low,,2.042,0.3287310979618672,0.9090909090909092,1.0,0,0,1,0,0.2,Low Risk
INT-100053,2026-01-21 06:05:31.852024,Operations,Manager,Compare sales performance by region,Marketing,Profit Margin,Trend Analysis,0.85,2348,2.0,Medium,,2.348,0.2986857825567503,0.8585858585858586,2.0,0,0,1,1,0.30000000000000004,Medium Risk
INT-100054,2025-11-21 13:09:31.852026,Finance,Manager,Forecast next quarter revenue,Finance,Conversion Rate,Descriptive,0.75,526,1.0,Medium,,0.526,0.655307994757536,0.7575757575757576,2.0,0,0,0,1,0.1,Low Risk
INT-100055,2025-12-27 02:35:31.852027,Sales,Intern,Compare sales performance by region,Marketing,ROI,Descriptive,0.84,2257,3.0,Medium,,2.257,0.30703101013202333,0.8484848484848485,2.0,0,0,1,0,0.2,Low Risk
INT-100056,2025-10-08 15:12:31.852029,HR,Analyst,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.62,382,3.0,High,,0.382,0.723589001447178,0.6262626262626263,3.0,0,1,0,0,0.3,Medium Risk
INT-100057,2025-12-25 00:40:31.852031,Marketing,Manager,What is customer churn rate?,Finance,Conversion Rate,Predictive,0.9,654,4.0,Medium,,0.654,0.6045949214026602,0.9090909090909092,2.0,0,0,0,0,0.0,Low Risk
INT-100060,2025-12-01 13:41:31.852047,Marketing,Executive,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.64,1556,1.0,Low,,1.556,0.39123630672926446,0.6464646464646465,1.0,0,0,0,1,0.1,Low Risk
